stop_lat, stop_lon
41.87632184, -87.77410482
41.87706679, -87.77131794
41.87695725, -87.76975039
41.87702418, -87.76745055
41.876513, -87.761446
41.87655197, -87.75892544
41.876564, -87.757313
41.87659463, -87.75461526
41.87662635, -87.7531684
41.8766513, -87.75128256
41.87662062, -87.74912362
41.87668892, -87.74701737
41.87676314, -87.74483066
41.87682975, -87.74254901
41.87683358, -87.74058525
41.87685748, -87.73934698
41.87688572, -87.73761421
41.87691497, -87.73515882
41.876933, -87.73265
41.876963, -87.7302
41.8770066, -87.72780787
41.87704003, -87.72532923
41.87706855, -87.72295441
41.87708065, -87.72082664
41.87714182, -87.7154772
41.877181, -87.713241
41.87723116, -87.70827664
41.87725804, -87.70577393
41.877288, -87.703323
41.877318, -87.700867
41.877348, -87.69841
41.87737082, -87.69595515
41.87739943, -87.69355299
41.8774236, -87.69165753
41.877478, -87.686093
41.877496, -87.683652
41.87754396, -87.68127094
41.87739502, -87.67873587
41.877421, -87.67667235
41.87513747, -87.67664239
41.874059, -87.671334
41.87409, -87.669231
41.87508698, -87.66643194
41.87655158, -87.66651521
41.87743988, -87.67402389
41.87748733, -87.67103731
41.8775244, -87.66899047
41.87755467, -87.66689065
41.87759, -87.664068
41.877634, -87.661652
41.87772931, -87.65677916
41.877751, -87.654338
41.87780698, -87.65169869
41.87784819, -87.64946073
41.8778898, -87.64696658
41.87792686, -87.64375065
41.877997, -87.639776
41.878051, -87.635401
41.878081, -87.632868
41.878121, -87.629467
41.878141, -87.627899
41.878208, -87.625752
41.876271, -87.624396
41.87485809, -87.62355113
41.87669, -87.62416
41.878135, -87.624193
41.879575, -87.625884
41.879426, -87.634024
41.876778, -87.642319
41.87676, -87.643782
41.876726, -87.647048
41.876682, -87.649401
41.87661688, -87.6544072
41.87657583, -87.65680352
41.87652937, -87.65932106
41.87644665, -87.66410017
41.87640948, -87.66647087
41.87632903, -87.67187647
41.876242, -87.674057
41.87624, -87.676072
41.87421, -87.66897
41.8741415, -87.67454701
41.87410934, -87.67632053
41.87740942, -87.67635136
41.87755894, -87.69097077
41.87752503, -87.69403232
41.87749585, -87.69648347
41.87747326, -87.6987788
41.87744329, -87.70133446
41.87740982, -87.70378269
41.87739519, -87.70627812
41.8773701, -87.70855292
41.87735315, -87.71111733
41.87730566, -87.71365567
41.87701673, -87.7158695
41.8772105, -87.72104802
41.8771684, -87.72332492
41.87713666, -87.72579473
41.87710765, -87.72819551
41.87707727, -87.73064873
41.8770945, -87.73310614
41.87701751, -87.73555571
41.87698719, -87.737991
41.87696338, -87.73943465
41.87696546, -87.74069588
41.87692666, -87.74280741
41.87685893, -87.74541898
41.87682102, -87.74713903
41.87680393, -87.74934028
41.87675729, -87.75161217
41.87672858, -87.75353528
41.87673038, -87.75523999
41.8766768, -87.75782934
41.87664899, -87.75967824
41.87661212, -87.76154549
41.87660365, -87.76459825
41.87716981, -87.76801292
41.8771099, -87.76974453
41.87723809, -87.7713027
41.872683, -87.76479999
41.872803, -87.761654
41.8729, -87.759367
41.872855, -87.75752
41.87288253, -87.75449102
41.87289309, -87.75318511
41.87300185, -87.74920832
41.87306462, -87.74514556
41.873099, -87.742661
41.873198, -87.740893
41.873205, -87.739488
41.87321343, -87.73794849
41.87376435, -87.73549587
41.871629, -87.735223
41.87026275, -87.73495185
41.87089987, -87.73270091
41.8716, -87.730102
41.872297, -87.727603
41.87289549, -87.72557064
41.873419, -87.723087
41.873457, -87.719565
41.873469, -87.718216
41.873541, -87.713327
41.873566, -87.71088
41.873602, -87.708461
41.87365176, -87.70351379
41.87368976, -87.70104879
41.873716, -87.698661
41.873755, -87.693779
41.873785, -87.690705
41.873804, -87.688797
41.87382334, -87.686408
41.873882, -87.683913
41.873911, -87.681449
41.87395, -87.67899
41.87397341, -87.67659224
41.87410558, -87.6667937
41.874122, -87.664252
41.874138, -87.661926
41.874142, -87.660176
41.874128, -87.658412
41.874191, -87.657167
41.874231, -87.654349
41.874283, -87.651938
41.874341, -87.649132
41.877832, -87.647165
41.874441, -87.64775
41.87447761, -87.64986281
41.874463, -87.651583
41.874376, -87.65445
41.87433, -87.657447
41.87432, -87.658436
41.874335, -87.660199
41.874271, -87.661608
41.874251, -87.66414
41.87427625, -87.66636841
41.874037, -87.678729
41.874009, -87.681205
41.87398752, -87.68358895
41.87396137, -87.68600523
41.873922, -87.688543
41.873913, -87.690493
41.87385, -87.693579
41.87385973, -87.69597837
41.873809, -87.698405
41.87385863, -87.70085097
41.87382263, -87.70329197
41.8737524, -87.70571896
41.87496738, -87.70608349
41.87460174, -87.70823931
41.87459474, -87.71053731
41.87437666, -87.71239028
41.87452996, -87.71790509
41.87450949, -87.71961417
41.874496, -87.722588
41.87439868, -87.72774701
41.87434644, -87.73270301
41.87377475, -87.73569932
41.87334431, -87.73746946
41.87330223, -87.73913875
41.87324864, -87.74082431
41.87319817, -87.7424164
41.87307396, -87.74898757
41.87305352, -87.75320123
41.8730184, -87.75465067
41.87295351, -87.75730323
41.87295262, -87.75948024
41.87292396, -87.76447722
41.86555077, -87.76277284
41.86559297, -87.75945922
41.86564938, -87.75705277
41.86564859, -87.75467392
41.86573504, -87.75213825
41.86574977, -87.74975926
41.86578791, -87.74732747
41.86585838, -87.74241065
41.8659273, -87.73749989
41.86599795, -87.73259722
41.866075, -87.727721
41.86611509, -87.72282126
41.86614847, -87.72026246
41.86617777, -87.71794192
41.86620404, -87.71563462
41.866258, -87.713081
41.86634562, -87.703247
41.8663703, -87.7009535
41.866419, -87.698427
41.866475, -87.693527
41.866485, -87.692302
41.86662475, -87.6735674
41.86664343, -87.67146821
41.86669057, -87.66900774
41.86676743, -87.66409989
41.86684613, -87.65925658
41.86688693, -87.65681615
41.86693795, -87.65360529
41.86702954, -87.65122372
41.86700611, -87.64940554
41.86711861, -87.64227064
41.86713891, -87.63882598
41.86718878, -87.63557243
41.86723861, -87.63060611
41.86728699, -87.62711056
41.867333, -87.624345
41.86741626, -87.6355436
41.86740019, -87.63905542
41.86735198, -87.64057609
41.86732793, -87.64204071
41.86721921, -87.64943144
41.86718872, -87.65089349
41.8671672, -87.65307965
41.86711341, -87.65499111
41.86710533, -87.65651505
41.86706609, -87.65903469
41.86695091, -87.66619588
41.86702876, -87.66879274
41.86700369, -87.67112322
41.86695936, -87.67353822
41.86693534, -87.67595278
41.86671595, -87.68585449
41.86668409, -87.68877572
41.86659701, -87.692167
41.86663483, -87.6933021
41.86656508, -87.69825112
41.86653975, -87.70064598
41.86651191, -87.70314478
41.86650058, -87.70540269
41.86644971, -87.70792594
41.86641794, -87.71026976
41.86640459, -87.71287363
41.86634534, -87.71776518
41.86632553, -87.71938526
41.86628473, -87.72265925
41.86625401, -87.72504075
41.86620917, -87.72754305
41.86618436, -87.72995235
41.86612304, -87.73235721
41.86610406, -87.73479765
41.86606861, -87.73720243
41.86601816, -87.7422535
41.86593304, -87.74702963
41.86590245, -87.74946275
41.86584906, -87.75203042
41.86581474, -87.7570127
41.86576771, -87.75926107
41.86571503, -87.7620988
41.86566632, -87.76416931
41.880313, -87.774043
41.88000915, -87.7714723
41.88008776, -87.76992191
41.88010476, -87.76821491
41.88014676, -87.76661691
41.88018349, -87.7632177
41.88020276, -87.76191891
41.88019981, -87.75996715
41.88025187, -87.75778965
41.88027, -87.75526
41.880443, -87.742998
41.880475, -87.740705
41.88053063, -87.7331241
41.88061422, -87.72582347
41.880697, -87.723388
41.8808072, -87.7159745
41.88081388, -87.71381964
41.880887, -87.708722
41.880902, -87.706333
41.880952, -87.703147
41.88100858, -87.69600765
41.88103245, -87.694048
41.88106252, -87.68897646
41.88112797, -87.68410996
41.881232, -87.679293
41.881262, -87.67685
41.88129674, -87.67424663
41.8813284, -87.67186305
41.88137, -87.669513
41.88139461, -87.66699977
41.881525, -87.659765
41.881545, -87.657333
41.881608, -87.654897
41.88167775, -87.64983775
41.882, -87.64728
41.88311, -87.642848
41.883084, -87.639976
41.883128, -87.635516
41.883137, -87.632625
41.883145, -87.629611
41.88316957, -87.62749695
41.883159, -87.625966
41.88214, -87.625973
41.882042, -87.630679
41.8820052, -87.63408179
41.88196914, -87.63744347
41.88194735, -87.64104342
41.88191463, -87.64283539
41.8818, -87.649477
41.881767, -87.651833
41.881722, -87.654195
41.88164, -87.659483
41.881587, -87.66204
41.881548, -87.66449
41.881523, -87.666567
41.88149, -87.669113
41.88141872, -87.67423738
41.881398, -87.676448
41.881337, -87.678923
41.881235, -87.686193
41.881103, -87.698552
41.881088, -87.701062
41.881052, -87.703457
41.880992, -87.708572
41.880943, -87.713772
41.88092565, -87.71581962
41.88086554, -87.72097816
41.88080561, -87.7231035
41.88065, -87.740598
41.880632, -87.74259
41.88060934, -87.74512281
41.88057059, -87.7475185
41.88055203, -87.7500388
41.8804935, -87.75246236
41.88041111, -87.75996398
41.88035703, -87.76469173
41.88031057, -87.76638886
41.88028356, -87.76803586
41.88026556, -87.76966086
41.88022656, -87.77166101
41.89492553, -87.77484321
41.894698, -87.772404
41.894724, -87.770295
41.894753, -87.768005
41.89479043, -87.76552392
41.894813, -87.763681
41.894857, -87.758152
41.894892, -87.75325
41.89491691, -87.74830576
41.89490567, -87.7459369
41.89497791, -87.74357476
41.8950662, -87.73839753
41.89515935, -87.73356209
41.89518019, -87.73103742
41.89523069, -87.72859928
41.8952897, -87.72621079
41.89535017, -87.72370372
41.89540605, -87.71398324
41.89540903, -87.70906101
41.89547423, -87.70669089
41.89551445, -87.70255697
41.89555954, -87.69911652
41.89557304, -87.69680625
41.89559143, -87.69435573
41.89562813, -87.68941398
41.89566223, -87.68701853
41.89574859, -87.68206956
41.89578741, -87.67959733
41.89583078, -87.67719168
41.89587004, -87.67474255
41.89599305, -87.6674741
41.89604414, -87.66414584
41.89612172, -87.65956047
41.89619683, -87.65554311
41.89621694, -87.6543091
41.89626756, -87.65126255
41.89628954, -87.64726282
41.89634208, -87.64618838
